Model,MAE,RMSE,R2,MAPE,Accuracy,Precision,Recall,F1_Score,ROC_AUC
SVR_Raw,1.2185668431051977,6.251946175859999,0.9710741953823281,38218838125775.06,,,,,
SVR_Log,0.041271061683386796,0.04948117469065698,0.9996490433058568,24730405341947.742,,,,,
SVC_Binary,,,,,1.0,1.0,1.0,1.0,1.0
SVC_Multi3,,,,,0.9951801421858055,0.9951786975659249,0.9951801421858055,0.9951780938970631,0.9999311931006643
